author, quote
Guido van Rossum,The joy of coding Python should be in seeing short concise readable classes that express a lot of action in a small amount of clear code not in reams of trivial code that bores the reader to death.
Bram Cohen,My favorite language for maintainability is Python It has simple clean syntax object encapsulation good library support and optional named parameters
Libba Bray,Sitting in my favorite coffeehouse with a new notebook and a hot cup of java is my idea of Heaven
